sweep_type,floor_friction,body_friction,amp_z,amp_y,frequency,gait,v_sim_mpm,v_real_mpm,abs_err_pct,gap_pct
isotropic,1.6,1.6,0.6,0.4,3.0,S,1.3026,0.65,100.4,-100.4
isotropic,1.6,1.6,0.6,0.6,3.0,S,1.3668,1.6,14.58,14.58
isotropic,1.6,1.6,0.4,0.0,2.0,C,0.5952,0.62,4.0,4.0
isotropic,1.6,1.6,0.4,0.0,2.5,C,1.149,0.72,59.58,-59.58
isotropic,1.6,1.6,0.4,0.0,3.0,C,0.2436,0.27,9.78,9.78
isotropic,1.6,1.6,0.6,0.0,2.0,C,0.6102,0.47,29.83,-29.83
isotropic,1.6,1.6,0.6,0.0,2.5,C,1.1886,1.42,16.3,16.3
isotropic,1.6,1.6,0.6,0.0,3.0,C,0.7152,0.97,26.27,26.27
floor_only,1.6,0.3,0.4,0.4,2.5,S,0.9816,0.93,5.55,-5.55
floor_only,1.6,0.3,0.4,0.4,3.0,S,0.5208,0.7,25.6,25.6
floor_only,1.6,0.3,0.4,0.6,3.0,S,0.819,1.46,43.9,43.9
floor_only,1.6,0.3,0.6,0.4,3.0,S,1.167,0.65,79.54,-79.54
floor_only,1.6,0.3,0.6,0.6,3.0,S,1.233,1.6,22.94,22.94
floor_only,1.6,0.3,0.4,0.0,2.0,C,0.6252,0.62,0.84,-0.84
floor_only,1.6,0.3,0.4,0.0,2.5,C,1.0344,0.72,43.67,-43.67
floor_only,1.6,0.3,0.4,0.0,3.0,C,0.246,0.27,8.89,8.89
floor_only,1.6,0.3,0.6,0.0,2.0,C,0.648,0.47,37.87,-37.87
floor_only,1.6,0.3,0.6,0.0,2.5,C,1.155,1.42,18.66,18.66
floor_only,1.6,0.3,0.6,0.0,3.0,C,0.6336,0.97,34.68,34.68
