t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.42923570,0.00031673,-0.00128174,0.00120700,-0.00568630,-0.99966699,-0.02515120,0.00103090,0.00032266,-0.00083855,0.00099912
0.43422580,0.00013051,-0.00092688,0.00097889,-0.00573147,-0.99966604,-0.02517607,0.00104198,0.00032307,-0.00090598,0.00099786
0.43921685,0.00012859,-0.00102629,0.00098887,-0.00573621,-0.99966615,-0.02517088,0.00103295,0.00003232,-0.00046587,0.00066185
0.44420791,0.00012657,-0.00113409,0.00099897,-0.00573768,-0.99966592,-0.02518078,0.00103061,0.00001427,-0.00051463,0.00063945
0.44919896,0.00012729,-0.00124999,0.00101539,-0.00574449,-0.99966592,-0.02517932,0.00102227,-0.00000380,-0.00056656,0.00061724
0.45418978,0.00012682,-0.00137360,0.00102637,-0.00574178,-0.99966592,-0.02517980,0.00102751,-0.00001978,-0.00062177,0.00059363
0.45917988,0.00012676,-0.00150610,0.00103665,-0.00574269,-0.99966580,-0.02518432,0.00102011,-0.00003656,-0.00068165,0.00057207
0.46417069,0.00012531,-0.00164557,0.00104107,-0.00574437,-0.99966586,-0.02518249,0.00102284,-0.00005298,-0.00074545,0.00055091
0.46916175,0.00014776,-0.00084143,0.00100486,-0.00576374,-0.99966574,-0.02518209,0.00105245,-0.00019084,-0.00015936,0.00030642
0.47415280,0.00014910,-0.00092496,0.00101847,-0.00576159,-0.99966568,-0.02518362,0.00105290,-0.00021519,-0.00019434,0.00027592
0.47914362,0.00015041,-0.00101785,0.00102794,-0.00576797,-0.99966568,-0.02518286,0.00107066,-0.00023914,-0.00023360,0.00024610
0.48413491,0.00015150,-0.00111686,0.00104262,-0.00577418,-0.99966556,-0.02518540,0.00107545,-0.00026279,-0.00027460,0.00020662
0.48912501,0.00015250,-0.00122468,0.00105970,-0.00577216,-0.99966544,-0.02518987,0.00109583,-0.00028617,-0.00031751,0.00017344
0.49411583,0.00015344,-0.00134170,0.00107891,-0.00577498,-0.99966562,-0.02518230,0.00109365,-0.00030933,-0.00036068,0.00013788
0.49910688,0.00015375,-0.00145622,0.00108326,-0.00576293,-0.99966556,-0.02518697,0.00110885,-0.00033238,-0.00040214,0.00010041
0.50409770,0.00012601,-0.00096674,0.00102130,-0.00577848,-0.99966574,-0.02517561,0.00111878,-0.00006580,-0.00021626,0.00009801
0.50908875,0.00012550,-0.00106368,0.00102467,-0.00578611,-0.99966538,-0.02518652,0.00112282,-0.00007119,-0.00026637,0.00006930
0.51407886,0.00012825,-0.00117237,0.00103192,-0.00577665,-0.99966568,-0.02517880,0.00112497,-0.00007634,-0.00031994,0.00004032
0.51906967,0.00012932,-0.00128411,0.00103482,-0.00577269,-0.99966556,-0.02518226,0.00113355,-0.00008373,-0.00037321,0.00001264
0.52406073,0.00013072,-0.00140345,0.00103741,-0.00576404,-0.99966586,-0.02517280,0.00112971,-0.00008976,-0.00043186,-0.00001479
0.52905202,0.00013054,-0.00152559,0.00103912,-0.00575961,-0.99966592,-0.02517207,0.00112380,-0.00009591,-0.00049321,-0.00004134
0.53404284,0.00013101,-0.00165657,0.00104096,-0.00575883,-0.99966574,-0.02518027,0.00111638,-0.00010210,-0.00055875,-0.00006598
0.53903294,0.00020757,-0.00088005,0.00084457,-0.00580610,-0.99966580,-0.02516570,0.00114010,0.00004483,-0.00017980,0.00005099
0.54402375,0.00021290,-0.00095890,0.00083686,-0.00581037,-0.99966568,-0.02516958,0.00113668,0.00004680,-0.00022941,0.00003360
0.54901481,0.00021808,-0.00104497,0.00082847,-0.00582167,-0.99966556,-0.02517294,0.00114610,0.00004856,-0.00028009,0.00001560
0.55400586,0.00022307,-0.00113749,0.00081956,-0.00581623,-0.99966556,-0.02517386,0.00114897,0.00005035,-0.00033741,-0.00000241
0.55899668,0.00022798,-0.00123908,0.00081221,-0.00582421,-0.99966550,-0.02517298,0.00114902,0.00005200,-0.00039772,-0.00002045
0.56398773,0.00023269,-0.00134661,0.00080352,-0.00581830,-0.99966544,-0.02517469,0.00115156,0.00005460,-0.00046067,-0.00003747
0.56897783,0.00020049,-0.00087496,0.00098379,-0.00580398,-0.99966544,-0.02518017,0.00117478,0.00003893,-0.00008558,0.00018020
0.57396889,0.00020370,-0.00096055,0.00098717,-0.00579410,-0.99966544,-0.02518322,0.00118172,0.00004084,-0.00012926,0.00017711
0.57895994,0.00020663,-0.00104995,0.00099122,-0.00579348,-0.99966526,-0.02518950,0.00118928,0.00004322,-0.00018245,0.00016827
0.58395076,0.00020927,-0.00114372,0.00099550,-0.00580290,-0.99966556,-0.02517565,0.00119420,0.00004565,-0.00023652,0.00016187
0.58894181,0.00021169,-0.00124324,0.00100064,-0.00579484,-0.99966556,-0.02517783,0.00119409,0.00004832,-0.00029548,0.00015362
0.59393167,0.00021670,-0.00135547,0.00100314,-0.00579289,-0.99966580,-0.02516832,0.00119846,0.00005005,-0.00035583,0.00014607
0.59892273,0.00022052,-0.00147008,0.00101049,-0.00578916,-0.99966568,-0.02517313,0.00119318,0.00005220,-0.00042108,0.00013739
0.60391378,0.00019713,-0.00089827,0.00092241,-0.00581400,-0.99966598,-0.02515418,0.00122784,0.00003915,-0.00021452,0.00018160
0.60890460,0.00020146,-0.00098449,0.00092964,-0.00581285,-0.99966615,-0.02514832,0.00121465,0.00003942,-0.00026996,0.00018180
0.61389565,0.00020601,-0.00107414,0.00093392,-0.00580504,-0.99966621,-0.02514915,0.00120963,0.00004178,-0.00033213,0.00018474
0.61888695,0.00021086,-0.00116974,0.00094026,-0.00580746,-0.99966615,-0.02514654,0.00121427,0.00004307,-0.00039516,0.00018519
0.62387681,0.00021584,-0.00126772,0.00094465,-0.00580552,-0.99966609,-0.02515124,0.00121439,0.00004453,-0.00046086,0.00018502
0.62886786,0.00022123,-0.00137436,0.00095060,-0.00581102,-0.99966621,-0.02514487,0.00121562,0.00004609,-0.00052778,0.00018181
0.63385868,0.00021638,-0.00081402,0.00077790,-0.00581869,-0.99966592,-0.02515514,0.00123823,0.00004791,-0.00059947,0.00018011
0.63884974,0.00022107,-0.00090102,0.00076571,-0.00583375,-0.99966615,-0.02514177,0.00124012,0.00001160,-0.00029996,0.00025347
0.64384079,0.00022660,-0.00098641,0.00075234,-0.00583811,-0.99966592,-0.02515122,0.00123247,0.00001135,-0.00036435,0.00025814
0.64883161,0.00023196,-0.00107842,0.00073972,-0.00583480,-0.99966609,-0.02514188,0.00123293,0.00001123,-0.00043053,0.00026454
0.65382171,0.00023674,-0.00116795,0.00072850,-0.00583019,-0.99966598,-0.02514751,0.00123008,0.00001134,-0.00050059,0.00027139
0.65881276,0.00024161,-0.00126953,0.00071662,-0.00582591,-0.99966645,-0.02513100,0.00123672,0.00001056,-0.00057259,0.00027959
0.66380382,0.00024633,-0.00137824,0.00070478,-0.00582907,-0.99966639,-0.02513314,0.00123667,0.00001018,-0.00064912,0.00028717
0.66879487,0.00023083,-0.00090042,0.00069831,-0.00583239,-0.99966633,-0.02513396,0.00124419,-0.00001322,-0.00028889,0.00027631
0.67378569,0.00024232,-0.00099321,0.00067677,-0.00584025,-0.99966651,-0.02512443,0.00124910,-0.00001686,-0.00033941,0.00027988
