t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.6705,0.023936391,0.03767905,0.041001833,0.0053277242,-0.70047803,0.0053119902,0.71363431,0.0024591257,-0.003854194,0.010442314
0.6805,0.023935998,0.037635075,0.041121832,0.0053814626,-0.69965423,0.0048126675,0.71444513,0.0003620074,-0.0044278004,0.0070813012
0.6905,0.023893474,0.037598404,0.041165976,0.0052493317,-0.69914095,0.0045236422,0.71495029,-0.0043476691,-0.0037596194,0.0021046215
0.7005,0.023828302,0.037588708,0.041221838,0.0051748723,-0.69865079,0.004461233,0.71543022,-0.0055713853,0.0015977275,0.0071846081
0.7105,0.023771538,0.037628072,0.04128904,0.005124889,-0.69810091,0.0047362644,0.71596538,-0.0050697461,0.0060882991,0.0093557206
0.7205,0.02372571,0.037694809,0.041395862,0.0053581946,-0.69752475,0.004923774,0.71652374,-0.0043499074,0.0064681555,0.010311854
0.7305,0.023682449,0.037808736,0.04168167,0.0054988336,-0.69640166,0.0052162668,0.71761221,-0.0030183784,0.015269591,0.042271538
0.7405,0.0236295,0.037981956,0.042277566,0.0058427305,-0.69446725,0.0052237167,0.71948163,-0.0023448489,0.018400764,0.069673213
0.7505,0.023576009,0.038192707,0.042993979,0.0060397173,-0.69211395,0.0053205135,0.72174337,-0.0010282081,0.023143585,0.072436965
0.7605,0.023549174,0.038428433,0.04367824,0.0059830639,-0.69024334,0.005456578,0.72353201,0.0016715211,0.022952177,0.07063601
0.7705,0.023554901,0.038673241,0.04432969,0.0059920346,-0.68921304,0.0052795192,0.72451474,0.0043149887,0.025333073,0.058390759
0.7805,0.023588197,0.038929718,0.044880654,0.0057703061,-0.68871602,0.0052463099,0.72498926,0.005298416,0.023381547,0.055413835
0.7905,0.023651881,0.039164083,0.045329665,0.0056223328,-0.68911709,0.0049279171,0.72461144,0.0083221603,0.023215539,0.032939497
0.8005,0.023760525,0.039390922,0.045624424,0.0051539728,-0.69051799,0.0047353454,0.72328135,0.011458236,0.022357844,0.024553022
0.8105,0.023900081,0.039590921,0.045824991,0.0048343146,-0.6924328,0.0043723527,0.72145293,0.013649321,0.018590323,0.018930275
0.8205,0.024080846,0.039741622,0.045927377,0.0043046712,-0.694839,0.0040551002,0.71914101,0.018785505,0.010480372,0.0086398445
0.8305,0.024314669,0.039788639,0.046000968,0.0037199137,-0.69772083,0.0036034171,0.71635105,0.02296284,0.00055726817,0.0063043075
0.8405,0.02457701,0.03976647,0.046047773,0.0031486091,-0.70078018,0.0030847358,0.71336366,0.024150772,-0.0038892799,0.0034708894
0.8505,0.024841289,0.039708588,0.046071871,0.002519742,-0.70380461,0.0024800008,0.7103848,0.024652918,-0.006929712,0.0020306881
0.8605,0.025096214,0.039632328,0.046088481,0.0018186383,-0.70666253,0.0017898323,0.70754615,0.023954802,-0.0079934779,0.0016055877
0.8705,0.025335552,0.039550904,0.046103158,0.0011023244,-0.7093008,0.0010744357,0.70490425,0.022632082,-0.0081601971,0.0014415802
0.8805,0.025570473,0.039464064,0.046136894,0.00041175743,-0.71164966,0.00037565673,0.7025343,0.023650904,-0.0090578467,0.0048234514
0.8905,0.025807359,0.039371692,0.046197253,-0.0002290632,-0.71369098,-0.0002876649,0.7004606,0.023598051,-0.009264061,0.0069157425
0.9005,0.026038071,0.039280708,0.046271735,-0.00083320209,-0.71545545,-0.00089254362,0.69865729,0.023299466,-0.0082276833,0.0064367968
0.9105,0.026294678,0.039217648,0.046429962,-0.0012488321,-0.71671569,-0.0012238803,0.69736329,0.026991805,-0.0049610697,0.023871311
0.9205,0.026576909,0.039182659,0.046731937,-0.0012899082,-0.71736606,-0.0013503464,0.69669395,0.027750238,-0.0022804025,0.034471967
0.9305,0.026838595,0.0391755,0.047031137,-0.0011517027,-0.71788477,-0.0012896766,0.6961598,0.018568141,0.0021995869,0.015026372
0.9405,0.027046931,0.039251528,0.04713575,-0.00071580245,-0.71903537,-0.00087514053,0.69497256,0.014885723,0.011657392,0.0052322513
0.9505,0.027251118,0.039399477,0.047125071,-8.6668013e-06,-0.72046515,-0.00013062415,0.69349113,0.012855732,0.017296081,-0.0069305896
0.9605,0.027448442,0.039590773,0.046995049,0.00084305987,-0.72201006,0.00079695985,0.69188158,0.011120518,0.020730059,-0.018272536
0.9705,0.027671345,0.039800959,0.04669903,0.0018360246,-0.72376284,0.0019043464,0.69004373,0.01464745,0.021525296,-0.038856309
0.9805,0.027930652,0.040016052,0.046237664,0.0029424699,-0.72573752,0.003154531,0.68795817,0.016435009,0.021933238,-0.051770293
0.9905,0.028200778,0.040233691,0.045664294,0.0040819739,-0.72779849,0.0044479663,0.68576447,0.016276318,0.022154598,-0.061687265
1.0005,0.028482178,0.040443624,0.044903802,0.0052768403,-0.7300881,0.00581011,0.68330795,0.017030606,0.02067417,-0.087705229
1.0105,0.028776123,0.040639828,0.043942261,0.0065199728,-0.73264884,0.0072251465,0.68053726,0.017034028,0.019533506,-0.10397105
1.0205,0.029061639,0.040828939,0.042915968,0.007739877,-0.73524768,0.0086071082,0.67769969,0.0156294,0.0200673,-0.084797354
1.0305,0.029306127,0.041041482,0.042217648,0.0088719044,-0.73740486,0.0098651572,0.67532069,0.01069239,0.023162838,-0.057882037
